id,hypothesis,delta,gen1_dTFR,gen4_dTFR,korea_gen1,korea_gen4,flip,lean,verdict
H314,Decree 770 total ban (abortion + contraception),0.75,0.0256,-0.2167,0.0134,-0.1465,1,REFUTED,REFUTED
H315,"Mutterkreuz honour decoration (pronatal medal, no penalty)",0.1,0.0428,0.0684,0.0350,0.0315,0,PARTIAL,PARTIAL
H316,Childlessness tax + Mother-Heroine medals (penalty + honour),0.3,0.0564,0.0600,0.0402,0.0096,0,PARTIAL,PARTIAL
H317,Eugenic Graduate Mothers Scheme (selective natalism),0.4,0.0083,-0.0194,0.0045,-0.0211,1,REFUTED,REFUTED
H318,Sacred third-child baptism (un-buyable devotion),0.05,0.3223,0.5956,0.2493,0.3726,0,SUPPORTED,SUPPORTED
H319,Contraception rollback / pronatalist reversal,0.5,0.0128,-0.1048,0.0069,-0.0875,1,REFUTED,REFUTED
H320,Lifetime tax exemption for 4+ children (Hungary),0.15,0.1267,0.2218,0.0825,0.1137,0,PARTIAL,PARTIAL
H321,Covenant marriage / abolish no-fault divorce,0.6,0.0143,-0.1119,0.0124,-0.0853,1,REFUTED,REFUTED
H322,Demeny / parental proxy voting (franchise by children),0.03,0.1532,0.3153,0.1170,0.2029,0,SUPPORTED,SUPPORTED
H323,Child-linked pension (internalise the pension externality),0.1,0.0958,0.1766,0.0635,0.0893,0,PARTIAL,PARTIAL
H324,State-run matchmaking / assortative markets,0.2,0.0996,0.1737,0.0924,0.1158,0,PARTIAL,PARTIAL
H325,Bride-price / dowry revival (marriage-payment lever),0.3,0.0248,0.0012,0.0272,0.0107,0,REFUTED,REFUTED
H326,Legalise polygamy as a fertility lever,0.2,-0.0585,-0.1415,-0.0380,-0.0784,0,REFUTED,REFUTED
H327,Lower the marriage / consent age,0.1,0.0774,-0.1224,0.0412,-0.1340,1,REFUTED,REFUTED
H328,Abortion ban (Dobbs / SB8 / Poland),0.4,0.0243,-0.0865,0.0125,-0.0851,1,PARTIAL->REFUTED,PARTIAL
H329,Conscription exemption / national service for parents,0.2,0.0356,0.0612,0.0229,0.0216,0,PARTIAL,PARTIAL
H330,Gilead: established coercive theocratic natalism,0.85,0.0640,-0.3085,0.0433,-0.1430,1,REFUTED,REFUTED
H331,Sacralise motherhood as norm (no penalty),0.08,0.0694,0.1339,0.0533,0.0689,0,SUPPORTED,SUPPORTED
H332,Apocalyptic / martyrdom-reward high fertility (Quiverfull),0.05,0.2261,0.3679,0.1265,0.1549,0,PARTIAL,PARTIAL
H333,High-demand religion retention (compounding subpopulation),0.1,0.0994,0.1947,0.0706,0.0974,0,PARTIAL,PARTIAL
H334,Ban contraception,0.6,0.0093,-0.1083,0.0050,-0.0881,1,REFUTED,REFUTED
H335,Pronatal media / glorify large families (propaganda),0.4,0.0253,0.0454,0.0231,0.0248,0,REFUTED,REFUTED
H336,Shame / honour penalty on childlessness,0.4,0.0526,0.0249,0.0362,-0.0218,1,REFUTED,REFUTED
H337,Total covenant-community bundle (Amish-style),0.15,0.3518,0.5846,0.3246,0.4467,0,PARTIAL,PARTIAL
H338,Tech-right pronatalism (IVF + embryo selection),0.1,0.0674,0.1406,0.0512,0.0747,0,PARTIAL,PARTIAL
