id,claim,verdict
E30-H247,durable population-scale therapy/health raises marriageability and clears the E21 null,SUPPORTED
E30-H248,voluntary one-off couples therapy stays null,REFUTED
E30-H249,marriageability is bilateral - alienation lowers it for men AND women,SUPPORTED
E30-H250,father-access loss has no contemporary effect but a delayed intergenerational cost,SUPPORTED
E30-H251,the intergenerational alienation compounds over the horizon,SUPPORTED
E30-H252,relationship scars impose a delayed next-generation coupling cost,SUPPORTED
E30-H253,a shared-custody presumption pays a delayed intergenerational dividend,SUPPORTED
E30-H254,paternity certainty raises father investment and pays an intergenerational dividend,SUPPORTED
E30-H255,the therapy dividend also compounds intergenerationally,SUPPORTED
E30-H256,the intergenerational channel is calibrated to the fatherlessness literature,SUPPORTED
E30-H257,short-horizon evaluation understates structural levers,SUPPORTED
E30-H258,alienation is hysteresis-adjacent - a lost generation propagates forward,PARTIAL
E30-H259,cash can buy marriageability,REFUTED
E30-H260,the intergenerational memory reframes the campaign - score levers over two generations,SUPPORTED
