id,name,verdict
E31-H261,rebuttable shared-custody presumption (the causal winner),SUPPORTED
E31-H262,rigid mandatory 50/50 vs rebuttable,PARTIAL
E31-H263,fines / sanctions / contempt for access denial,REFUTED
E31-H264,criminalisation of alienation (Brazil Lei 12.318/2010),REFUTED
E31-H265,mandated reunification therapy / camps,REFUTED
E31-H266,mandatory co-parenting / divorce education,PARTIAL
E31-H267,early mediation (divert from litigation),SUPPORTED
E31-H268,DV carve-out design (safety-gated shared custody),SUPPORTED
E31-H269,weaponisation screen (the Meier correction),PARTIAL
E31-H270,prevention-over-punishment synthesis,SUPPORTED
