id,claim,verdict
E26-H188,polyamory raises the partnership count -> coupling,REFUTED
E26-H189,polyamorous alloparenting shares child cost -> parity,PARTIAL
E26-H190,CNM concentrates mating on high-status men -> excluded-male externality,REFUTED
E26-H191,matrilineal descent raises fertility,REFUTED
E26-H192,matrilocal residence -> grandmaternal childcare,PARTIAL
E26-H193,stacking co-resident female kin pools childcare,REFUTED
E26-H194,kibbutz-style full cost-socialisation of a child,SUPPORTED
E26-H195,generic cooperative breeding raises fertility,PARTIAL
E26-H196,state-funded universal in-kind childcare,SUPPORTED
E26-H197,the communal FORM without cost-socialisation raises fertility,REFUTED
E26-H198,media is a causal fertility channel (antinatal direction),SUPPORTED
E26-H199,deliberate pronatal media raises fertility,PARTIAL
E26-H200,a pronatal norm multiplies structural levers,PARTIAL
E26-H201,maternal grandmother proximity raises fertility,PARTIAL
E26-H202,paying grandparents to provide care recreates the effect,REFUTED
E26-H203,kin buffers the late-tempo fecundability loss,PARTIAL
E26-H204,legal recognition of plural parents raises fertility,REFUTED
E26-H205,the complementary stack childcare + kin + pronatal-N is super-additive,PARTIAL
E26-H206,state childcare and grandmother care are substitutes that crowd each other out,REFUTED
E26-H207,autonomy-lowering pronatal traditionalism raises fertility net,REFUTED
