id,claim,verdict
E28-H213,state suppression of polygyny (enforced monogamy) is the fertility-favouring institution in the developed regime,SUPPORTED
E28-H214,cultural / society endorsement of polygyny raises fertility,REFUTED
E28-H215,state endorsement + subsidy of polygyny manufactures the missing quantum,REFUTED
E28-H216,the development regime flips the sign of polygyny (Tertilt +40% only in low-development),SUPPORTED
E28-H217,polyandry endorsement suppresses fertility regardless of endorsement level,SUPPORTED
E28-H218,state suppression of polyandry raises fertility by un-rationing women's reproduction,PARTIAL
E28-H219,the excluded-sex externality on C scales with endorsement reach,SUPPORTED
E28-H220,endorsement shifts the bistable norm N enough to matter on its own,PARTIAL
E28-H221,a state subsidy offsets the polygyny externality,PARTIAL
E28-H222,the excluded-male crime side-effect dominates any polygyny fertility gain,SUPPORTED
E28-H223,polygyny is a viable lever once women's autonomy is priced in,REFUTED
E28-H224,the interaction structure is dominated by the development sign-flip and the reach x externality,SUPPORTED
E28-H225,the spectrum optimum is an interior endorsement level,REFUTED
E28-H226,across the whole spectrum no polygamy variant lifts developed-regime TFR net of side-effects,SUPPORTED
