id,claim,verdict
E29-H227,matriliny raises female autonomy and lowers female childlessness but not quantum,REFUTED
E29-H228,paternity uncertainty is offset by avuncular (mother's-brother) investment,PARTIAL
E29-H229,matrilocal residence delivers grandmaternal childcare (a real cost-of-children lever),PARTIAL
E29-H230,stacking co-resident female kin pools childcare and raises fertility,REFUTED
E29-H231,"matriarchy makes high-quality men exit, lowering retained male quality",SUPPORTED
E29-H232,female hypergamy on the weak retained pool collapses coupling,SUPPORTED
E29-H233,the instability needs no male aggression - pure withdrawal and selection suffice,SUPPORTED
E29-H234,the collapse threshold is predicted by a hypergamy bar calibrated from unrelated dating data,SUPPORTED
E29-H235,men are the infrastructure/defence substrate - their exit drops security S,SUPPORTED
E29-H236,paternity severance lowers the next generation's marriageability a generation later,SUPPORTED
E29-H237,"matriarchy compounds - it degrades the next generation, not just the present",SUPPORTED
E29-H238,avuncular investment buffers the intergenerational father-absence cost,PARTIAL
E29-H239,"the matriarchy collapse runs on two timescales - hypergamy now, alienation a generation later",SUPPORTED
E29-H240,state funding of the matriarchy repairs it,REFUTED
E29-H241,media normalisation of matriarchy shifts the norm enough to stabilise it,REFUTED
E29-H242,engineering male retention stabilises the matriarchy,REFUTED
E29-H243,there is an interior matriarchy strength that raises fertility,REFUTED
E29-H244,the collapse is dominated by the exit x hypergamy interaction,SUPPORTED
E29-H245,a stable pro-fertility matriarchy exists under the right conditions,REFUTED
E29-H246,"the transferable part of matriarchy is matrilocal kin childcare, not the descent/paternity system",SUPPORTED
